icd_code,condition_group
I50,Congestive Heart Failure
I501,Congestive Heart Failure
I502,Congestive Heart Failure
I5020,Congestive Heart Failure
I5021,Congestive Heart Failure
I5022,Congestive Heart Failure
I5023,Congestive Heart Failure
I503,Congestive Heart Failure
I5030,Congestive Heart Failure
I5031,Congestive Heart Failure
I5032,Congestive Heart Failure
I5033,Congestive Heart Failure
I504,Congestive Heart Failure
I5040,Congestive Heart Failure
I5041,Congestive Heart Failure
I5042,Congestive Heart Failure
I5043,Congestive Heart Failure
I50810  ,Congestive Heart Failure
I50811  ,Congestive Heart Failure
I50812  ,Congestive Heart Failure
I50813  ,Congestive Heart Failure
I50814  ,Congestive Heart Failure
I5082   ,Congestive Heart Failure
I5083   ,Congestive Heart Failure
I5084   ,Congestive Heart Failure
I5089   ,Congestive Heart Failure
I509,Congestive Heart Failure
I798    ,Diabetes
I96     ,Diabetes
J411    ,COPD
J418    ,COPD
J42     ,COPD
J439    ,COPD
J44,COPD
J440,COPD
J441,COPD
J449,COPD
J4520,Asthma
J4521,Asthma
J4522,Asthma
J4530,Asthma
J4531,Asthma
J4532,Asthma
J4540,Asthma
J4541,Asthma
J4542,Asthma
J4550,Asthma
J4551,Asthma
J4552,Asthma
J45901,Asthma
J45902,Asthma
J45909,Asthma
J45991,Asthma
J45998,Asthma
J684    ,COPD
J982    ,COPD
K055    ,Diabetes
K061    ,Diabetes
K062    ,Diabetes
K063    ,Diabetes
K1370   ,Diabetes
K1379   ,Diabetes
K3184   ,Diabetes
L942    ,Diabetes
L988    ,Diabetes
M1280   ,Diabetes
M1460   ,Diabetes
M4300   ,Back and Neck Pain
M4310   ,Back and Neck Pain
M4327   ,Back and Neck Pain
M4328   ,Back and Neck Pain
M436    ,Back and Neck Pain
M438X9  ,Back and Neck Pain
M454,Back and Neck Pain
M459    ,Back and Neck Pain
M480,Back and Neck Pain
M4800,Back and Neck Pain
M4801,Back and Neck Pain
M4802,Back and Neck Pain
M4803,Back and Neck Pain
M4804,Back and Neck Pain
M4805,Back and Neck Pain
M4806,Back and Neck Pain
M4807,Back and Neck Pain
M4808,Back and Neck Pain
M50,Back and Neck Pain
M500,Back and Neck Pain
M5000,Back and Neck Pain
M5001,Back and Neck Pain
M5002,Back and Neck Pain
M5003,Back and Neck Pain
M501,Back and Neck Pain
M5010,Back and Neck Pain
M5011,Back and Neck Pain
M5012,Back and Neck Pain
M5013,Back and Neck Pain
